year,scenario,HDD,HD,RHDD,G_Hor,G_Hor_HD,G_E_HD,G_S_HD,G_W_HD,G_N_HD
2024,rcp45,1330.80,200.60,2333.80,1237.00,392.00,286.00,488.00,276.00,178.00
2025,rcp45,1326.90,200.01,2326.96,1238.23,392.39,286.28,488.49,276.27,178.18
2026,rcp45,1323.00,199.42,2320.12,1239.46,392.78,286.57,488.97,276.55,178.35
2027,rcp45,1319.10,198.84,2313.28,1240.70,393.17,286.86,489.46,276.83,178.53
2028,rcp45,1315.20,198.25,2306.44,1241.93,393.56,287.14,489.95,277.10,178.71
2029,rcp45,1311.30,197.66,2299.60,1243.17,393.96,287.43,490.43,277.38,178.89
2030,rcp45,1307.40,197.07,2292.76,1244.41,394.35,287.71,490.92,277.65,179.07
2031,rcp45,1303.50,196.48,2285.92,1245.65,394.74,288.00,491.41,277.93,179.24
2032,rcp45,1299.60,195.90,2279.09,1246.89,395.13,288.29,491.90,278.21,179.42
2033,rcp45,1295.70,195.31,2272.25,1248.13,395.53,288.57,492.39,278.48,179.60
2034,rcp45,1291.80,194.72,2265.41,1249.37,395.92,288.86,492.88,278.76,179.78
2035,rcp45,1287.90,194.13,2258.57,1250.61,396.31,289.15,493.37,279.04,179.96
2036,rcp45,1284.00,193.55,2251.73,1251.86,396.71,289.44,493.86,279.32,180.14
2037,rcp45,1280.10,192.96,2244.89,1253.11,397.10,289.72,494.35,279.59,180.32
2038,rcp45,1276.20,192.37,2238.05,1254.35,397.50,290.01,494.85,279.87,180.50
2039,rcp45,1272.30,191.78,2231.21,1255.60,397.89,290.30,495.34,280.15,180.68
2040,rcp45,1268.40,191.19,2224.37,1256.85,398.29,290.59,495.83,280.43,180.86
2041,rcp45,1264.50,190.61,2217.53,1258.10,398.69,290.88,496.33,280.71,181.04
2042,rcp45,1260.60,190.02,2210.69,1259.36,399.08,291.17,496.82,280.99,181.22
2043,rcp45,1256.70,189.43,2203.85,1260.61,399.48,291.46,497.31,281.27,181.40
2044,rcp45,1252.80,188.84,2197.01,1261.86,399.88,291.75,497.81,281.55,181.58
2045,rcp45,1248.90,188.25,2190.17,1263.12,400.28,292.04,498.30,281.83,181.76
2046,rcp45,1245.00,187.67,2183.33,1264.38,400.68,292.33,498.80,282.11,181.94
2047,rcp45,1241.10,187.08,2176.49,1265.64,401.07,292.62,499.30,282.39,182.12
2048,rcp45,1237.20,186.49,2169.66,1266.90,401.47,292.91,499.79,282.67,182.30
2049,rcp45,1233.30,185.90,2162.82,1268.16,401.87,293.20,500.29,282.95,182.48
2050,rcp45,1229.40,185.32,2155.98,1269.42,402.27,293.50,500.79,283.23,182.67
2051,rcp45,1225.50,184.73,2149.14,1270.68,402.67,293.79,501.29,283.52,182.85
2052,rcp45,1221.60,184.14,2142.30,1271.95,403.08,294.08,501.79,283.80,183.03
2053,rcp45,1217.70,183.55,2135.46,1273.21,403.48,294.37,502.29,284.08,183.21
2054,rcp45,1213.80,182.96,2128.62,1274.48,403.88,294.67,502.79,284.36,183.39
2055,rcp45,1209.90,182.38,2121.78,1275.75,404.28,294.96,503.29,284.65,183.58
