year,scenario,HDD,RHDD
2024,rcp26_2024_2050,3221.9656318984175,2366.2952526016356
2025,rcp26_2024_2050,3368.328232951375,2468.1492243574626
2026,rcp26_2024_2050,3379.2132142227697,2514.7460399038905
2027,rcp26_2024_2050,3473.492038242979,2582.349725254237
2028,rcp26_2024_2050,3314.425197601515,2410.019817588913
2029,rcp26_2024_2050,3513.0927317811534,2603.448172329968
2030,rcp26_2024_2050,3401.109012799306,2490.2191856938166
2031,rcp26_2024_2050,3234.483976317919,2341.9875658782553
2032,rcp26_2024_2050,3402.3540198550854,2500.1328656089236
2033,rcp26_2024_2050,3327.819208091969,2436.0383861364203
2034,rcp26_2024_2050,3211.3415626928277,2358.988531756587
2035,rcp26_2024_2050,3338.9908658493773,2437.961881007413
2036,rcp26_2024_2050,3488.1878385644673,2581.7978982109807
2037,rcp26_2024_2050,3284.606264232048,2387.9477919683604
2038,rcp26_2024_2050,3455.8532700700403,2584.564506529741
2039,rcp26_2024_2050,3424.4129175674298,2522.109033144833
2040,rcp26_2024_2050,3168.0552581850175,2289.1948003808243
2041,rcp26_2024_2050,3268.5300752775306,2378.0078736910655
2042,rcp26_2024_2050,3378.4848492586257,2477.59077142119
2043,rcp26_2024_2050,3348.8089528671826,2441.714604572311
2044,rcp26_2024_2050,3181.561841458662,2291.836474626241
2045,rcp26_2024_2050,3258.2985220486516,2353.625513747348
2046,rcp26_2024_2050,3259.4228981371452,2395.023465481044
2047,rcp26_2024_2050,3123.0044819390732,2253.8451000445516
2048,rcp26_2024_2050,3194.3265674869017,2323.76206372657
2049,rcp26_2024_2050,3364.758649429808,2465.2499673081015
2050,rcp26_2024_2050,3336.9642289122216,2448.348907339358
2024,rcp45_2024_2050,9425.776341691613,8327.829957438675
2025,rcp45_2024_2050,9374.355630755424,8279.387209815044
2026,rcp45_2024_2050,9213.374225318432,8118.666956605193
2027,rcp45_2024_2050,9422.315906524658,8327.315906524658
2028,rcp45_2024_2050,9371.295294195957,8274.573296028932
2029,rcp45_2024_2050,9418.989885389805,8323.989885389805
2030,rcp45_2024_2050,9285.49446952343,8190.649507370606
2031,rcp45_2024_2050,9231.332957923412,8136.332957923412
2032,rcp45_2024_2050,9299.979980558157,8202.009068746976
2033,rcp45_2024_2050,9252.566365003586,8157.9253766475185
2034,rcp45_2024_2050,9145.18025034666,8050.473114904441
2035,rcp45_2024_2050,9341.52690127492,8246.52690127492
2036,rcp45_2024_2050,9287.72652554512,8189.72652554512
2037,rcp45_2024_2050,9178.68355923891,8083.683559238911
2038,rcp45_2024_2050,9184.835367292166,8089.890739457939
2039,rcp45_2024_2050,9079.346969366074,7984.708216712851
2040,rcp45_2024_2050,9190.212361617061,8094.088141771564
2041,rcp45_2024_2050,9080.137928664684,7985.137928664684
2042,rcp45_2024_2050,9109.747492440045,8014.747492440045
2043,rcp45_2024_2050,9149.213263809681,8054.6165900390215
2044,rcp45_2024_2050,9155.329030178887,8059.7357126452835
2045,rcp45_2024_2050,9117.825647860765,8022.829492059361
2046,rcp45_2024_2050,9186.564640462399,8091.747760441452
2047,rcp45_2024_2050,9219.890851974487,8125.175875102576
2048,rcp45_2024_2050,9078.284595832229,7980.284595832229
2049,rcp45_2024_2050,9278.3591111129,8184.323187407082
2050,rcp45_2024_2050,9053.149989128113,7958.149989128113
2024,rcp85_2024_2050,8600.20669555664,7502.664056315906
2025,rcp85_2024_2050,8588.375297450677,7496.603382526247
2026,rcp85_2024_2050,8637.577911376953,7543.451745460173
2027,rcp85_2024_2050,8583.881227989606,7490.565090439225
2028,rcp85_2024_2050,8610.684051513672,7513.092277469065
2029,rcp85_2024_2050,8554.237731933594,7460.675113629669
2030,rcp85_2024_2050,8628.12241453492,7534.615849572186
2031,rcp85_2024_2050,8665.717193603516,7571.23545426126
2032,rcp85_2024_2050,8507.24387408841,7411.288753399593
2033,rcp85_2024_2050,8563.206535853451,7472.653089058898
2034,rcp85_2024_2050,8423.59768492996,7329.368379625984
2035,rcp85_2024_2050,8497.067342959168,7404.105059258246
2036,rcp85_2024_2050,8653.58155047509,7556.832446934598
2037,rcp85_2024_2050,8484.846440512818,7390.985624951872
2038,rcp85_2024_2050,8454.440710602354,7362.357178018768
2039,rcp85_2024_2050,8343.46713256836,7249.072403326547
2040,rcp85_2024_2050,8333.572509875006,7237.529219010693
2041,rcp85_2024_2050,8376.462390760196,7282.88330965213
2042,rcp85_2024_2050,8251.614481268989,7159.784837185986
2043,rcp85_2024_2050,8340.27448297316,7246.9904229718095
2044,rcp85_2024_2050,8527.936157226562,7429.991891867798
2045,rcp85_2024_2050,8474.47896668629,7380.858856436343
2046,rcp85_2024_2050,8343.453521728516,7249.548745526823
2047,rcp85_2024_2050,8390.194885253906,7295.842702469364
2048,rcp85_2024_2050,8471.675170898438,7373.918132454747
2049,rcp85_2024_2050,8264.87445836768,7171.538335473392
2050,rcp85_2024_2050,8170.898793839212,7079.609411510618
