;Gebäude;;;;;;;BauteilBT,i;;;;;;;;;;;;;;;;;;;;Luftwechsel;;FensterflächenausrichtungFF,i;;;;;;;Erläuterung;;;;;;Tabula Code;Anmerkung
Referenz;Gebäudetyp;Baualtersklasse;;"Netto-
grundfläche
[m²]";"Wohn-
fläche
[m²]";"Gebäudenutz-
fläche nach EnEV
[m2]";"beheiztes
Gebäudevolumen
[m²]";"ABT,Dach
[m²]";"ABT,o.Geschossdecke
[m²]";"ABT,Außenwand
[m²]";"ABT,Kellerdecke
[m²]";"ABT,Fenster
[m²]";"ABT,Außentür
[m²]";"?ABT,i
[m²]";"UDach
[W/m²K]";"Uo.Geschossdecke
[W/m²K]";"UAußenwand
[W/m²K]";"UKellerdecke
[W/m²K]";"UFenster
[W/m²K]";"UAußentür
[W/m²K]";"?UWB
[W/m²K]";fK,Dach;fK,Geschoßdecke;fK,Außenwand;fK,Kellerdecke;fK,Fenster;fK,Außentür;"nmin,F
[1/h]";"nmin,x
[1/h]";"AFF,Horizontal
[m²]";"AFF,Ost
[m²]";"AFF,Süd
[m²]";"AFF,West
[m²]";"AFF,Nord
[m²]";gF;fNA;Dach;oberste Geschossdecke;Außenwand;Kellerdecke;Fenster;Außentür;;
EFH_01_Bestand;EFH;vor 1919;Einfamilienhaus;141,8;128,9;190,4;595;83,1;0;194;78,3;22,3;2;379,7;1,3;1;1,7;1,2;3,5;3;0,1;1;1;1;0,6;1;1;0,5;0,2;0;7,6;5,6;7,6;1,4;0,75;0,8;Steildach mit Holzsparren, Lehmschlag;;Vollziegel-Mauerwerk;Holzbalkendecke;Holzfenster mit Zweischeiben-Isolierverglasung, keine Originalfenster;Holztür;DE.N.SFH.02.Gen;
EFH_02_Bestand;EFH;1919-1948;Einfamilienhaus;302,5;275;336,8;1.052,50;214;0;235,3;144,9;52,4;2;648,6;1,4;0,8;1,7;1;3,5;3;0,1;1;1;1;0,6;1;1;0,5;0,2;0;9,1;22;9,1;12,2;0,75;0,82;Steildach mit Holzsparren, leeres Gefach, raumseitig Holzfaserplatte;;Vollziegel-Mauerwerk;Stahlträger-/Ortbeton-Decke mit Holzfußboden;Holzfenster mit Zweischeiben-Isolierverglasung, keine Originalfenster;Holztür;DE.N.SFH.03.Gen;
EFH_03_Bestand;EFH;1949-1957;Einfamilienhaus;111,1;101;121,6;380;125,4;0;117,8;79,9;18,4;2;343,5;1,4;0,8;1,4;1,01;3,5;3;0,1;1;1;1;0,6;1;1;0,5;0,2;0;3,2;8,6;3,2;3,3;0,75;0,8;Steildach mit Holzsparren, ausgemauertes Gefach;;zweischaliges Mauerwerk;Betondecke mit Dielenfußboden;Holzfenster mit Zweischeiben-Isolierverglasung, keine Originalfenster;Holztür;DE.N.SFH.04.Gen;
EFH_04_Bestand;EFH;1958-1968;Einfamilienhaus;266,2;242;298,94;934,2;180,9;0;234,3;145;45,2;2;607,4;0,8;0,6;1,2;1,6;3,5;3;0,1;1;1;1;0,6;1;1;0,5;0,2;0;9,1;10;9,1;16,9;0,75;0,85;Steildach mit 5 cm Dämmung;;Mauerwerk aus Hohlblocksteinen, Hochlochziegeln oder Gitterziegeln;Betondecke mit 1 cm Dämmung;Holzfenster mit Zweischeiben-Isolierverglasung, keine Originalfenster;Holztür;DE.N.SFH.05.Gen;
EFH_05_Bestand;EFH;1969-1978;Einfamilienhaus;173,3;157,5;193,92;606;183,1;0;177,6;152,3;34,2;2;549,2;0,5;0,6;1;1;3,5;3;0,1;1;1;1;0,6;1;1;0,5;0,2;0;5;16,6;5;7,6;0,75;0,83;Flachdach mit 6 cm Dämmung;;Mauerwerk aus Hohlblocksteinen, Leicht-Hochlochziegeln oder Gitterziegeln;Betondecke mit 2 cm Dämmung;Holzfenster mit Zweischeiben-Isolierverglasung, keine Originalfenster;Holztür;DE.N.SFH.06.Gen;
EFH_06_Bestand;EFH;1979-1983;Einfamilienhaus;215,6;196;207,04;647;100,8;0;159,4;83,4;27;2;372,6;0,5;0,5;0,8;0,8;4,3;3;0,1;1;1;1;0,6;1;1;0,5;0,2;0;8,7;6;8,7;3,6;0,75;0,88;Steildach 8 cm Dämmung;;Mauerwerk Leicht-Hochlochziegel/Leichtmörtel;Stahlbetondecke 4 cm Dämmung;Metallrahmen mit 2-Scheiben-Isolierverglasung, keine Originalfenster;Holztür;DE.N.SFH.07.Gen;
EFH_07_Bestand;EFH;1984-1994;Einfamilienhaus;150,2;136,6;164,48;514;123,2;0;211,3;75,3;29,7;2;441,5;0,4;0,4;0,5;0,6;3,5;3;0,1;1;1;1;0,6;1;1;0,5;0,2;0;7,4;12,7;7,4;2,1;0,75;0,86;Steildach 12 cm Dämmung;;Mauerwerk Porenbetonstein/Leichtmörtel;Stahlbetondecke 6 cm Dämmung;Alu-Fenster mit thermischer Trennung und 2-Scheiben-Isolierverglasung, keine Originalfenster;Holztür;DE.N.SFH.08.Gen;
EFH_08_Bestand;EFH;1995-2001;Einfamilienhaus;121,9;110,8;136,74;427,3;115,5;0;126,6;84,3;32,5;2;360,9;0,35;0,3;0,3;0,45;1,9;2;0,1;1;1;1;0,6;1;1;0,5;0,2;0;3,6;20,3;3,6;5;0,6;0,88;Steildach 14 cm Dämmung;;zweischaliges Mauerwerk 10 cm Dämmung;Stahlbetondecke 8 cm Dämmung;Alu-Fenster mit 2-Scheiben-Wärmeschutzverglasung;thermisch verbesserte Tür;DE.N.SFH.09.Gen;
EFH_09_Neubau;EFH;2002-2009;Einfamilienhaus;146,5;133,2;153,25;478,9;85,9;0;188,9;79,8;28,3;2;384,9;0,25;0,24;0,3;0,35;1,4;2;0,05;1;1;1;0,6;1;1;0,5;0,1;0;3,9;17,3;3,9;3,1;0,6;0,9;Steildach 16 cm Dämmung;;zweischaliges Mauerwerk 10 cm Dämmung;Stahlbetondecke 10 cm Dämmung (niedrige Wärmeleitfähigkeit);Alu-Fenster mit 2-Scheiben-Wärmeschutzverglasung, verbessert;thermisch verbesserte Tür;DE.N.SFH.10.Gen;U-Werte nach EnEV 2002 Neubau
EFH_10_Neubau;EFH;nach 2009;Einfamilienhaus;146,5;133,3;153,25;478,9;85,9;0;188,9;79,8;28,3;2;384,9;0,2;0,2;0,28;0,35;1,3;1,8;0,05;1;1;1;0,6;1;1;0,5;0,1;0;3,9;17,3;3,9;3,1;0,6;0,9;Steildach 16 cm Dämmung;;zweischaliges Mauerwerk 10 cm Dämmung;Stahlbetondecke 10 cm Dämmung (niedrige Wärmeleitfähigkeit);Holzrahmen mit 3-Scheiben-Wärmeschutzverglasung;thermisch verbesserte Tür;;U-Werte nach EnEV 2009 Neubau
RH_01_Bestand;RH;vor 1919;Reihenhaus;96;87,2;124,8;390;0;60;74,5;60;18,1;2;214,6;1,3;1;1,7;1,2;2,7;3;0,1;1;1;1;0,6;1;1;0,5;0,2;0;0;8;0;10,1;0,75;0,84;;Holzbalkendecke mit sichtbaren Balken;Vollziegel-Mauerwerk;Holzbalkendecke;Kastenfenster: 2 Scheiben im Holzrahmen;Holztür;DE.N.TH.02.Gen;
RH_02_Bestand;RH;1919-1948;Reihenhaus;112,8;102,5;135,42;423,2;0;50,4;64,1;50,4;21,5;2;188,4;1,4;0,8;1,7;1;3,5;3;0,1;1;1;1;0,6;1;1;0,5;0,2;0;0;13,6;0;7,9;0,75;0,86;;Holzbalkendecke;Vollziegel-Mauerwerk;Stahlträger-/Ortbeton-Decke mit Holzfußboden;Holzfenster mit Zweischeiben-Isolierverglasung;Holztür;DE.N.TH.03.Gen;
RH_03_Bestand;RH;1949-1957;Reihenhaus;149,6;136;149,95;468,6;0;81,2;134,7;81,2;46,7;2;345,8;1,4;0,8;1,2;2,1;3,5;3;0,1;1;1;1;0,6;1;1;0,5;0,2;0;0;25,6;0;21;0,75;0,83;;Holzbalkendecke;Mauerwerk aus Hohlblocksteinen, Hochlochziegeln oder Gitterziegeln;Rippendecke, Stahlsteindecke, Gitterträgerdecke;Holzfenster mit Zweischeiben-Isolierverglasung;Holztür;DE.N.TH.04.Gen;
RH_04_Bestand;RH;1958-1968;Reihenhaus;117,4;106,7;119,74;374,2;0;46,2;40,4;46,2;13,5;2;148,3;0,8;0,6;1,2;1,6;3,5;3;0,1;1;1;1;0,6;1;1;0,5;0,2;0;0;8,1;0;5,4;0,75;0,89;;Betondecke mit 5 cm Dämmung;Mauerwerk aus Hohlblocksteinen, Hochlochziegeln oder Gitterziegeln;Betondecke mit 1 cm Dämmung;Holzfenster mit Zweischeiben-Isolierverglasung;Holztür;DE.N.TH.05.Gen;
RH_05_Bestand;RH;1969-1978;Reihenhaus;106,3;96,6;107,2;335;0;60,9;53,7;60,9;23,4;2;200,9;0,5;0,6;1;1;3,5;3;0,1;1;1;1;0,6;1;1;0,5;0,2;0;11,7;0;11,7;0;0,75;0,87;;Betondecke mit 5 cm Dämmung;Mauerwerk aus Hohlblocksteinen, Leicht-Hochlochziegeln oder Gitterziegeln;Betondecke mit 2 cm Dämmung;Holzfenster mit Zweischeiben-Isolierverglasung;Holztür;DE.N.TH.06.Gen;
RH_06_Bestand;RH;1979-1983;Reihenhaus;108,3;98,4;131,01;409,4;97,6;0;54,1;73;20,3;2;247;0,5;0,5;0,8;0,8;3,5;3;0,1;1;1;1;0,6;1;1;0,5;0,2;0;0;11,9;0;8,3;0,75;0,87;Steildach mit 8 cm Dämmung;;Mauerwerk aus Leicht-Hochlochziegeln / Leichtmörtel;Betondecke mit 4 cm Dämmung;Holzfenster mit Zweischeiben-Isolierverglasung;Holztür;DE.N.TH.07.Gen;
RH_07_Bestand;RH;1984-1994;Reihenhaus;127,6;116;134,72;421;64,9;0;50,9;56,1;18,8;2;192,7;0,4;0,4;0,6;0,6;3,5;3;0,1;1;1;1;0,6;1;1;0,5;0,2;0;9,4;0;9,4;0;0,75;0,89;Steildach mit 12 cm Dämmung;;Mauerwerk aus Leicht-Hochlochziegeln / Leichtmörtel;Betondecke mit 6 cm Dämmung;Holzfenster mit Zweischeiben-Isolierverglasung;Holztür;DE.N.TH.08.Gen;
